"likely","worst","best","m","y"
80.329723961946,74.7600189202041,85.8994290036879,1,2016
80.2896764582096,74.5935440131666,85.9858089032527,2,2016
80.247473334962,74.4244783536402,86.0704683162838,3,2016
80.2051300965231,74.2551371332548,86.1551230597914,4,2016
80.1645593868371,74.0878969454296,86.2412218282446,5,2016
80.1274308518368,73.9251121604548,86.3297495432188,6,2016
80.0944421454084,73.7681633390862,86.4207209517305,7,2016
80.0660479234264,73.6185049477491,86.5135908991037,8,2016
80.0425163586333,73.4775704022517,86.6074623150148,9,2016
80.0232388038537,73.3455129264624,86.7009646812451,10,2016
80.0068328789903,73.2210990809996,86.7925666769809,11,2016
79.9915387189218,73.1020527727139,86.8810246651298,12,2016
79.9756426289552,72.9855087212556,86.9657765366547,1,2017
79.9578825506561,72.8685527558761,87.0472123454361,2,2017
79.9377903073646,72.7488097956482,87.126770819081,3,2017
79.9159316274097,72.6250133567159,87.2068498981035,4,2017
79.8940155392529,72.497462472923,87.2905686055828,5,2017
79.8748586281124,72.3682601481276,87.3814571080972,6,2017
79.8620990849447,72.2412045266886,87.4829936432007,7,2017
79.8595709658142,72.1212659922122,87.5978759394162,8,2017
79.8712588481034,72.0141191035144,87.7283985926924,9,2017
79.9011849395238,71.9259095985565,87.876460280491,10,2017
79.953163507235,71.8625906953262,88.0437363191438,11,2017
80.0298959404084,71.8280508107831,88.2317410700338,12,2017
80.1327512245452,71.8236192594217,88.4418831896687,1,2018
80.2624361405514,71.849217806316,88.6756544747869,2,2018
80.4181331140712,71.9025055989635,88.9337606291788,3,2018
80.5986434819317,71.9807635021208,89.2165234617426,4,2018
80.802396410506,72.0811737891723,89.5236190318397,5,2018
81.0260093770328,72.1993181659241,89.8527005881416,6,2018
81.2641828657918,72.3293336714435,90.1990320601401,7,2018
81.5102831807209,72.4647166928005,90.5558496686414,8,2018
81.7574238325011,72.5994921041501,90.915355560852,9,2018
81.9987470595833,72.7280958838105,91.2693982353561,10,2018
82.2276336456855,72.8447314931908,91.6105357981803,11,2018
82.4379876390264,72.9431288480578,91.932846429995,12,2018
82.6241138117246,73.0163861390326,92.2318414844165,1,2019
82.781750761577,73.0577614567496,92.5057400664044,2,2019
82.9085666779007,73.061636650637,92.7554967051643,3,2019
83.0039577550963,73.0243618663952,92.9835536437974,4,2019
83.0680042699395,72.9442666735226,93.1917418663564,5,2019
83.1021202904275,72.8228948742143,93.3813457066408,6,2019
83.1080533323635,72.6643623446356,93.5517443200914,7,2019
83.0875509115515,72.474852643081,93.700249180022,8,2019
83.0423605437946,72.2621080000549,93.8226130875343,9,2019
82.9742929378766,72.0345650748983,93.9140208008548,10,2019
82.8854195031685,71.7997636889297,93.9710753174072,11,2019
82.77786885723,71.5627600669402,93.9929776475199,12,2019
