y,m,district_destination,district_origin,reason,idps,likely,best,worst
2016,1,Borama,Tayeeglow,drought,7,0,0,2
2016,1,Borama,Banadir,drought,7,0,0,2
2016,1,Borama,Banadir,drought,8,0,0,2
2016,1,Borama,Banadir,drought,5,0,0,1
2016,1,Borama,Banadir,drought,6,0,0,2
2016,1,Borama,Baydhaba,drought,6,0,0,2
2016,1,Borama,Diinsoor,drought,7,0,0,2
2016,1,Borama,Cabudwaaq,drought,6,0,0,2
2016,1,Borama,Cadaado,drought,8,0,0,2
2016,1,Borama,Belet Weyne,drought,6,0,0,2
2016,1,Borama,Jalalaqsi,drought,8,0,0,2
2016,1,Borama,Jilib,drought,9,0,0,2
2016,1,Borama,Burtinle,drought,6,0,0,2
2016,1,Banadir,Banadir,insecurity,5238,5238,3929,5238
2016,1,Banadir,Banadir,other,34,34,26,34
2016,1,Banadir,Banadir,other,720,720,540,720
2016,1,Banadir,Banadir,other,300,300,225,300
2016,1,Banadir,Banadir,other,5,5,4,5
2016,1,Banadir,Banadir,other,144,144,108,144
2016,1,Banadir,Belet Weyne,insecurity,8,8,6,8
2016,1,Banadir,Marka,insecurity,461,461,346,461
2016,1,Banadir,Marka,insecurity,18,18,14,18
2016,1,Banadir,Marka,insecurity,5,5,4,5
2016,1,Banadir,Marka,insecurity,14,14,11,14
2016,1,Banadir,Qoryooley,insecurity,26,26,20,26
2016,1,Banadir,Qoryooley,insecurity,39,39,29,39
2016,1,Banadir,Qoryooley,other,6,6,5,6
2016,1,Bossaso,Banadir,drought,5,0,0,1
2016,1,Bossaso,Banadir,drought,11,0,0,3
2016,1,Qardho,Banadir,drought,3,0,0,1
2016,1,Qardho,Banadir,drought,4,0,0,1
2016,1,Qardho,Qardho,other,8,8,6,8
2016,1,Qardho,Cadaado,drought,5,0,0,1
2016,1,Qardho,Belet Weyne,insecurity,9,9,7,9
2016,1,Qardho,Belet Weyne,insecurity,7,7,5,7
2016,1,Qardho,Qoryooley,insecurity,7,7,5,7
2016,1,Qardho,Garoowe,drought,3,0,0,1
2016,1,Qardho,Garoowe,other,13,13,10,13
2016,1,Baydhaba,Waajid,drought,14,0,0,4
2016,1,Baydhaba,Bossaso,other,6,6,5,6
2016,1,Baydhaba,Baydhaba,insecurity,5,5,4,5
2016,1,Baydhaba,Baydhaba,insecurity,45,45,34,45
2016,1,Baydhaba,Baydhaba,drought,7,0,0,2
2016,1,Baydhaba,Baydhaba,drought,8,0,0,2
2016,1,Baydhaba,Baydhaba,drought,7,0,0,2
2016,1,Baydhaba,Baydhaba,drought,7,0,0,2
2016,1,Baydhaba,Diinsoor,drought,7,0,0,2
2016,1,Baydhaba,Diinsoor,drought,10,0,0,3
2016,1,Baydhaba,Diinsoor,drought,10,0,0,3
2016,1,Baydhaba,Diinsoor,other,14,14,11,14
2016,1,Baydhaba,Qansax Dheere,drought,4,0,0,1
2016,1,Baydhaba,Qansax Dheere,drought,26,0,0,7
2016,1,Baydhaba,Qansax Dheere,drought,5,0,0,1
2016,1,Baydhaba,Qansax Dheere,drought,9,0,0,2
2016,1,Dhuusamarreeb,Cadaado,insecurity,121,121,91,121
2016,1,Dhuusamarreeb,Cadaado,insecurity,17,17,13,17
2016,1,Baardheere,Garbahaarey,insecurity,140,140,105,140
2016,1,Baardheere,Garbahaarey,insecurity,205,205,154,205
2016,1,Baardheere,Garbahaarey,insecurity,450,450,338,450
2016,1,Baardheere,Garbahaarey,insecurity,168,168,126,168
2016,1,Belet Xaawo,Belet Xaawo,insecurity,690,690,518,690
2016,1,Belet Xaawo,Belet Xaawo,insecurity,1410,1410,1058,1410
2016,1,Belet Xaawo,Garbahaarey,insecurity,13,13,10,13
2016,1,Belet Xaawo,Garbahaarey,insecurity,11,11,8,11
2016,1,Belet Xaawo,Garbahaarey,insecurity,18,18,14,18
2016,1,Belet Xaawo,Garbahaarey,insecurity,150,150,113,150
2016,1,Belet Xaawo,Garbahaarey,insecurity,4,4,3,4
2016,1,Belet Xaawo,Garbahaarey,insecurity,23,23,17,23
2016,1,Ceel Waaq,Belet Xaawo,insecurity,110,110,83,110
2016,1,Ceel Waaq,Garbahaarey,insecurity,210,210,158,210
2016,1,Ceel Waaq,Garbahaarey,insecurity,192,192,144,192
2016,1,Garbahaarey,Garbahaarey,insecurity,1210,1210,908,1210
2016,1,Garbahaarey,Garbahaarey,insecurity,2980,2980,2235,2980
2016,1,Garbahaarey,Garbahaarey,insecurity,102,102,77,102
2016,1,Garbahaarey,Garbahaarey,insecurity,400,400,300,400
2016,1,Luuq,Xudur,drought,3,0,0,1
2016,1,Luuq,Luuq,drought,7,0,0,2
2016,1,Kismaayo,Jamaame,drought,10,0,0,3
2016,1,Afgooye,Marka,insecurity,10,10,8,10
2016,1,Marka,Marka,insecurity,6,6,5,6
2016,1,Marka,Marka,insecurity,14,14,11,14
2016,1,Marka,Marka,insecurity,13,13,10,13
2016,1,Marka,Marka,insecurity,51,51,38,51
2016,1,Qoryooley,Kurtunwaarey,insecurity,5,5,4,5
2016,1,Bu'aale,Diinsoor,drought,126,0,0,32
2016,1,Jilib,Baardheere,drought,41,0,0,10
2016,1,Jilib,Baraawe,drought,124,0,0,31
2016,1,Saakow,Diinsoor,other,12,12,9,12
2016,1,Saakow,Baardheere,drought,23,0,0,6
2016,1,Saakow,Baardheere,drought,107,0,0,27
2016,1,Saakow,Baardheere,drought,21,0,0,5
2016,1,Saakow,Baardheere,drought,24,0,0,6
2016,1,Saakow,Garbahaarey,insecurity,110,110,83,110
2016,1,Gaalkacyo,Banadir,drought,33,0,0,8
2016,1,Gaalkacyo,Banadir,drought,10,0,0,3
2016,1,Gaalkacyo,Banadir,drought,2,0,0,1
2016,1,Gaalkacyo,Banadir,drought,5,0,0,1
2016,1,Gaalkacyo,Banadir,drought,7,0,0,2
2016,1,Gaalkacyo,Bossaso,insecurity,7,7,5,7
2016,1,Gaalkacyo,Bossaso,other,6,6,5,6
2016,1,Gaalkacyo,Baydhaba,drought,8,0,0,2
2016,1,Gaalkacyo,Qansax Dheere,drought,11,0,0,3
2016,1,Gaalkacyo,Cabudwaaq,drought,7,0,0,2
2016,1,Gaalkacyo,Cabudwaaq,drought,6,0,0,2
2016,1,Gaalkacyo,Cabudwaaq,drought,4,0,0,1
2016,1,Gaalkacyo,Cabudwaaq,drought,234,0,0,59
2016,1,Gaalkacyo,Cadaado,drought,7,0,0,2
2016,1,Gaalkacyo,Cadaado,drought,7,0,0,2
2016,1,Gaalkacyo,Ceel Dheer,insecurity,8,8,6,8
2016,1,Gaalkacyo,Ceel Dheer,insecurity,6,6,5,6
2016,1,Gaalkacyo,Ceel Dheer,insecurity,8,8,6,8
2016,1,Gaalkacyo,Belet Weyne,drought,6,0,0,2
2016,1,Gaalkacyo,Belet Weyne,drought,4,0,0,1
2016,1,Gaalkacyo,Jalalaqsi,drought,4,0,0,1
2016,1,Gaalkacyo,Kismaayo,other,7,7,5,7
2016,1,Gaalkacyo,Kismaayo,other,6,6,5,6
2016,1,Gaalkacyo,Gaalkacyo,insecurity,129,129,97,129
2016,1,Gaalkacyo,Gaalkacyo,drought,12,0,0,3
2016,1,Gaalkacyo,Gaalkacyo,drought,8,0,0,2
2016,1,Gaalkacyo,Gaalkacyo,drought,13,0,0,3
2016,1,Gaalkacyo,Gaalkacyo,drought,5,0,0,1
2016,1,Gaalkacyo,Gaalkacyo,other,213,213,160,213
2016,1,Gaalkacyo,Gaalkacyo,other,142,142,107,142
2016,1,Gaalkacyo,Gaalkacyo,other,102,102,77,102
2016,1,Gaalkacyo,Hobyo,insecurity,114,114,86,114
2016,1,Gaalkacyo,Hobyo,drought,6,0,0,2
2016,1,Gaalkacyo,Hobyo,drought,216,0,0,54
2016,1,Gaalkacyo,Hobyo,drought,6,0,0,2
2016,1,Gaalkacyo,Hobyo,drought,193,0,0,48
2016,1,Gaalkacyo,Hobyo,drought,234,0,0,59
2016,1,Gaalkacyo,Hobyo,drought,1329,0,0,332
2016,1,Gaalkacyo,Hobyo,drought,5,0,0,1
